agent_id,x,y,coverage,size
pipuck1,-10.418,-10.418,-1,0.164062
pipuck1,-10.418,-10.2539,-1,0.164062
pipuck1,-10.418,-10.0898,-1,0.164062
pipuck1,-10.418,-9.92578,-1,0.164062
pipuck1,-10.418,-9.76172,-1,0.164062
pipuck1,-10.418,-9.59766,-1,0.164062
pipuck1,-10.418,-9.43359,-1,0.164062
pipuck1,-10.418,-9.26953,-1,0.164062
pipuck1,-10.418,-9.10547,-1,0.164062
pipuck1,-10.418,-8.94141,-1,0.164062
pipuck1,-10.418,-8.77734,-1,0.164062
pipuck1,-10.418,-8.61328,-1,0.164062
pipuck1,-10.418,-8.44922,-1,0.164062
pipuck1,-10.418,-8.28516,-1,0.164062
pipuck1,-10.418,-8.12109,-1,0.164062
pipuck1,-10.418,-7.95703,-1,0.164062
pipuck1,-10.418,-7.79297,-1,0.164062
pipuck1,-10.418,-7.62891,-1,0.164062
pipuck1,-10.418,-7.46484,-1,0.164062
pipuck1,-10.418,-7.30078,-1,0.164062
pipuck1,-10.418,-7.13672,-1,0.164062
pipuck1,-10.418,-6.97266,-1,0.164062
pipuck1,-10.418,-6.80859,-1,0.164062
pipuck1,-10.418,-6.64453,-1,0.164062
pipuck1,-10.418,-6.48047,-1,0.164062
pipuck1,-10.418,-6.31641,-1,0.164062
pipuck1,-10.418,-6.15234,-1,0.164062
pipuck1,-10.418,-5.98828,-1,0.164062
pipuck1,-10.418,-5.82422,-1,0.164062
pipuck1,-10.418,-5.66016,-1,0.164062
pipuck1,-10.418,-5.49609,-1,0.164062
pipuck1,-10.418,-5.33203,-1,0.164062
pipuck1,-10.418,-5.16797,-1,0.164062
pipuck1,-10.418,-5.00391,-1,0.164062
pipuck1,-10.418,-4.83984,-1,0.164062
pipuck1,-10.418,-4.67578,-1,0.164062
pipuck1,-10.418,-4.51172,-1,0.164062
pipuck1,-10.418,-4.34766,-1,0.164062
pipuck1,-10.418,-4.18359,-1,0.164062
pipuck1,-10.418,-4.01953,-1,0.164062
pipuck1,-10.418,-3.85547,-1,0.164062
pipuck1,-10.418,-3.69141,-1,0.164062
pipuck1,-10.418,-3.52734,-1,0.164062
pipuck1,-10.418,-3.36328,-1,0.164062
pipuck1,-10.418,-3.19922,-1,0.164062
pipuck1,-10.418,-3.03516,-1,0.164062
pipuck1,-10.418,-2.87109,-1,0.164062
pipuck1,-10.418,-2.70703,-1,0.164062
pipuck1,-10.418,-2.54297,-1,0.164062
pipuck1,-10.418,-2.37891,-1,0.164062
pipuck1,-10.418,-2.21484,-1,0.164062
pipuck1,-10.418,-2.05078,-1,0.164062
pipuck1,-10.418,-1.88672,-1,0.164062
