agent_id,box_x,box_y,box_size,pheromone
pipuck1,-0.429688,-1.28906,0.171875,0.517177,
pipuck1,-0.257812,-1.28906,0.171875,0.508586,
pipuck1,-0.0859375,-1.28906,0.171875,0.517159,
pipuck1,-1.46094,-2.66406,0.171875,0.159781,
pipuck1,-0.429688,-1.46094,0.171875,0.508592,
pipuck1,-0.429688,-1.63281,0.171875,0.508592,
pipuck1,-0.257812,-1.46094,0.171875,0.517171,
pipuck1,-0.0859375,-1.46094,0.171875,0.517159,
pipuck1,-0.257812,-1.63281,0.171875,0.517171,
pipuck1,-0.0859375,-1.63281,0.171875,0.517159,
pipuck1,-0.429688,-1.80469,0.171875,0.508592,
pipuck1,-0.257812,-1.80469,0.171875,0.517171,
pipuck1,-0.0859375,-1.80469,0.171875,0.517159,
pipuck1,-0.257812,-1.97656,0.171875,0.525749,
pipuck1,-0.0859375,-1.97656,0.171875,0.517159,
pipuck1,-1.28906,-2.66406,0.171875,0.550484,
pipuck1,-1.11719,-2.66406,0.171875,0.567267,
pipuck1,-0.945312,-2.66406,0.171875,0.57614,
pipuck1,-0.773438,-2.66406,0.171875,0.584122,
pipuck1,-0.257812,-2.14844,0.171875,0.525749,
pipuck1,-0.0859375,-2.14844,0.171875,0.525722,
pipuck1,-0.257812,-2.32031,0.171875,0.525749,
pipuck1,-0.0859375,-2.32031,0.171875,0.525722,
pipuck1,-0.601562,-2.66406,0.171875,0.583826,
pipuck1,-0.429688,-2.66406,0.171875,0.573694,
pipuck1,-0.257812,-2.49219,0.171875,0.525749,
pipuck1,-0.0859375,-2.49219,0.171875,0.534263,
pipuck1,-0.257812,-2.66406,0.171875,0.623983,
pipuck1,-0.0859375,-2.66406,0.171875,0.634214,
pipuck1,-3.17969,-3.52344,0.171875,0.473644,
pipuck1,-3.17969,-3.69531,0.171875,0.516308,
pipuck1,-3.00781,-3.52344,0.171875,0.471943,
pipuck1,-2.83594,-3.52344,0.171875,0.470966,
pipuck1,-3.00781,-3.69531,0.171875,0.508157,
pipuck1,-2.83594,-3.69531,0.171875,0.500327,
pipuck1,-3.17969,-3.86719,0.171875,0.508151,
pipuck1,-3.35156,-4.03906,0.171875,0.508145,
pipuck1,-3.17969,-4.03906,0.171875,0.51629,
pipuck1,-3.00781,-3.86719,0.171875,0.516302,
pipuck1,-2.83594,-3.86719,0.171875,0.516308,
pipuck1,-3.00781,-4.03906,0.171875,0.508148,
pipuck1,-2.83594,-4.03906,0.171875,0.516296,
pipuck1,-3.35156,-4.21094,0.171875,0.508139,
pipuck1,-3.35156,-4.38281,0.171875,0.508136,
pipuck1,-3.17969,-4.38281,0.171875,0.516272,
pipuck1,-3.00781,-4.21094,0.171875,0.516284,
pipuck1,-2.83594,-4.21094,0.171875,0.516284,
pipuck1,-3.00781,-4.38281,0.171875,0.516272,
pipuck1,-2.83594,-4.38281,0.171875,0.516272,
pipuck1,-3.00781,-4.72656,0.171875,0.551313,
pipuck1,-2.83594,-4.72656,0.171875,0.647746,
pipuck1,-1.46094,-2.83594,0.171875,0.158144,
pipuck1,-1.46094,-3.00781,0.171875,0.218782,
pipuck1,-1.46094,-3.17969,0.171875,0.284809,
pipuck1,-2.66406,-3.52344,0.171875,0.469889,
pipuck1,-2.49219,-3.52344,0.171875,0.43496,
pipuck1,-2.66406,-3.69531,0.171875,0.501041,
pipuck1,-2.49219,-3.69531,0.171875,0.502154,
pipuck1,-2.32031,-3.52344,0.171875,0.468653,
pipuck1,-2.14844,-3.52344,0.171875,0.433428,
pipuck1,-2.32031,-3.69531,0.171875,0.503302,
pipuck1,-2.14844,-3.69531,0.171875,0.504122,
