x,y,observation_count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,56,0
2,57,0
2,58,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,0
3,0,0
3,1,0
3,2,0
3,3,39
3,4,51
3,5,64
3,6,114
3,7,158
3,8,172
3,9,232
3,10,186
3,11,138
3,12,171
3,13,244
3,14,203
3,15,182
3,16,191
3,17,195
3,18,196
3,19,199
3,20,197
3,21,196
3,22,180
3,23,170
3,24,174
3,25,199
3,26,170
3,27,188
3,28,241
3,29,271
3,30,237
3,31,170
3,32,211
3,33,145
3,34,186
3,35,248
3,36,121
3,37,172
3,38,110
3,39,120
3,40,132
3,41,157
3,42,191
3,43,182
3,44,176
3,45,183
3,46,166
3,47,197
3,48,213
3,49,221
3,50,235
3,51,235
3,52,234
3,53,205
3,54,224
3,55,223
3,56,186
3,57,162
3,58,186
3,59,135
3,60,502
3,61,0
3,62,0
3,63,0
4,0,0
4,1,0
4,2,0
4,3,65
4,4,40
4,5,62
4,6,127
4,7,217
4,8,204
4,9,321
4,10,183
4,11,216
4,12,208
4,13,246
4,14,226
4,15,259
4,16,284
4,17,280
4,18,317
4,19,357
4,20,346
4,21,304
4,22,272
4,23,266
4,24,279
4,25,296
4,26,289
4,27,200
4,28,161
4,29,214
4,30,206
4,31,245
4,32,273
4,33,351
4,34,453
4,35,601
4,36,450
4,37,435
4,38,325
4,39,303
4,40,347
4,41,282
4,42,264
4,43,231
4,44,158
4,45,202
4,46,235
4,47,271
4,48,265
4,49,268
4,50,273
4,51,284
4,52,382
4,53,334
4,54,413
4,55,272
4,56,247
4,57,242
4,58,228
4,59,504
4,60,753
4,61,0
4,62,0
4,63,0
5,0,0
5,1,0
5,2,0
5,3,84
5,4,113
5,5,139
5,6,232
5,7,338
5,8,406
5,9,469
5,10,407
5,11,405
5,12,468
5,13,460
5,14,453
5,15,453
5,16,461
5,17,429
5,18,413
5,19,398
5,20,424
5,21,417
5,22,379
5,23,546
5,24,587
5,25,624
5,26,711
5,27,620
5,28,746
5,29,763
5,30,693
5,31,701
5,32,595
5,33,509
5,34,566
5,35,539
5,36,450
5,37,572
5,38,561
5,39,499
5,40,385
5,41,223
5,42,168
5,43,172
5,44,238
5,45,277
5,46,336
5,47,322
5,48,283
5,49,373
5,50,549
5,51,517
5,52,399
5,53,401
5,54,472
5,55,274
5,56,264
5,57,225
5,58,204
5,59,817
5,60,743
5,61,0
5,62,0
5,63,0
6,0,0
6,1,0
6,2,0
6,3,116
6,4,152
6,5,217
6,6,325
6,7,541
6,8,583
6,9,573
6,10,588
6,11,665
6,12,958
6,13,924
6,14,819
6,15,1061
6,16,1086
6,17,878
6,18,877
6,19,1062
6,20,1037
6,21,1127
6,22,901
6,23,666
6,24,660
6,25,668
6,26,693
6,27,587
6,28,339
6,29,454
6,30,242
6,31,209
6,32,278
6,33,327
6,34,379
6,35,433
6,36,377
6,37,534
6,38,364
6,39,333
6,40,594
6,41,540
6,42,557
6,43,553
6,44,486
6,45,358
6,46,338
6,47,386
6,48,362
6,49,312
6,50,239
6,51,364
6,52,503
6,53,455
6,54,508
6,55,395
6,56,374
6,57,306
6,58,305
6,59,1099
6,60,458
6,61,0
6,62,0
6,63,0
7,0,0
7,1,0
7,2,0
7,3,159
7,4,208
7,5,308
7,6,387
7,7,554
7,8,615
7,9,657
7,10,557
7,11,469
7,12,438
7,13,508
7,14,457
7,15,399
7,16,422
7,17,361
7,18,339
7,19,368
7,20,372
7,21,521
7,22,320
7,23,300
7,24,361
7,25,271
7,26,395
7,27,435
7,28,213
7,29,250
7,30,167
7,31,173
7,32,161
7,33,190
7,34,321
7,35,293
7,36,414
7,37,296
7,38,583
7,39,429
7,40,513
7,41,395
7,42,326
7,43,451
7,44,613
7,45,860
7,46,884
7,47,632
7,48,342
7,49,225
7,50,279
7,51,280
7,52,356
7,53,323
7,54,499
7,55,507
7,56,516
7,57,348
7,58,287
7,59,1146
7,60,252
7,61,0
7,62,0
7,63,0
8,0,0
8,1,0
8,2,0
8,3,138
8,4,144
8,5,190
8,6,229
8,7,477
8,8,515
8,9,487
8,10,304
8,11,363
8,12,245
8,13,223
8,14,197
8,15,204
8,16,231
8,17,183
8,18,186
8,19,215
8,20,236
8,21,202
8,22,174
8,23,191
8,24,190
8,25,238
8,26,197
8,27,458
8,28,216
8,29,211
8,30,169
8,31,186
8,32,221
8,33,212
8,34,334
8,35,482
8,36,451
8,37,283
8,38,420
8,39,463
8,40,232
8,41,266
8,42,400
8,43,457
8,44,393
8,45,253
8,46,235
8,47,416
8,48,909
8,49,671
8,50,709
8,51,346
8,52,356
8,53,357
8,54,499
8,55,580
8,56,513
8,57,449
8,58,675
8,59,918
8,60,168
8,61,0
8,62,0
8,63,0
9,0,0
9,1,0
9,2,0
9,3,109
9,4,151
9,5,194
9,6,248
9,7,538
9,8,449
9,9,395
9,10,239
9,11,188
9,12,21
9,13,122
9,14,195
9,15,249
9,16,174
9,17,168
9,18,136
9,19,103
9,20,99
9,21,116
9,22,139
9,23,137
9,24,128
9,25,83
9,26,182
9,27,372
9,28,333
9,29,283
9,30,214
9,31,178
9,32,174
9,33,191
9,34,325
9,35,268
9,36,424
9,37,459
9,38,527
9,39,379
9,40,337
9,41,345
9,42,279
9,43,178
9,44,223
