agent_id,box_x,box_y,box_size,pheromone
pipuck7,-10.0898,4.67578,0.164062,0.5,
pipuck7,-9.92578,4.67578,0.164062,0.3,
pipuck7,-9.76172,4.67578,0.164062,0.3,
pipuck7,-9.59766,4.67578,0.164062,0.3,
pipuck7,-9.43359,4.67578,0.164062,0.3,
pipuck7,-9.26953,4.67578,0.164062,0.287685,
pipuck7,-10.2539,4.51172,0.164062,0.486724,
pipuck7,-10.2539,4.34766,0.164062,0.50531,
pipuck7,-10.0898,4.51172,0.164062,0.271114,
pipuck7,-9.92578,4.51172,0.164062,0.273547,
pipuck7,-10.0898,4.34766,0.164062,0.269673,
pipuck7,-9.92578,4.34766,0.164062,0.288818,
pipuck7,-10.2539,4.18359,0.164062,0.49989,
pipuck7,-10.2539,4.01953,0.164062,0.299247,
pipuck7,-10.0898,4.18359,0.164062,0.269616,
pipuck7,-9.92578,4.18359,0.164062,0.280532,
pipuck7,-10.0898,4.01953,0.164062,0.271336,
pipuck7,-9.92578,4.01953,0.164062,0.517461,
pipuck7,-9.76172,4.51172,0.164062,0.272019,
pipuck7,-9.59766,4.51172,0.164062,0.271914,
pipuck7,-9.76172,4.34766,0.164062,0.499104,
pipuck7,-9.59766,4.34766,0.164062,0.52506,
pipuck7,-9.43359,4.51172,0.164062,0.271808,
pipuck7,-9.26953,4.51172,0.164062,0.271703,
pipuck7,-9.43359,4.34766,0.164062,0.522814,
pipuck7,-9.26953,4.34766,0.164062,0.524489,
pipuck7,-9.76172,4.18359,0.164062,0.508456,
pipuck7,-9.59766,4.18359,0.164062,0.52521,
pipuck7,-9.76172,4.01953,0.164062,0.537936,
pipuck7,-9.59766,4.01953,0.164062,0.547349,
pipuck7,-9.43359,4.18359,0.164062,0.52602,
pipuck7,-9.26953,4.18359,0.164062,0.542022,
pipuck7,-9.43359,4.01953,0.164062,0.546966,
pipuck7,-9.26953,4.01953,0.164062,0.542872,
pipuck7,-9.10547,4.67578,0.164062,0.492787,
pipuck7,-8.61328,4.67578,0.164062,0.488023,
pipuck7,-9.10547,4.51172,0.164062,0.272435,
pipuck7,-8.94141,4.51172,0.164062,0.274263,
pipuck7,-9.10547,4.34766,0.164062,0.541297,
pipuck7,-8.94141,4.34766,0.164062,0.296393,
pipuck7,-8.77734,4.51172,0.164062,0.270897,
pipuck7,-8.61328,4.51172,0.164062,0.287263,
pipuck7,-8.77734,4.34766,0.164062,0.280099,
pipuck7,-8.61328,4.34766,0.164062,0.270842,
pipuck7,-9.10547,4.18359,0.164062,0.547683,
pipuck7,-8.94141,4.18359,0.164062,0.524129,
pipuck7,-9.10547,4.01953,0.164062,0.559502,
pipuck7,-8.94141,4.01953,0.164062,0.547683,
pipuck7,-8.77734,4.18359,0.164062,0.524485,
pipuck7,-8.61328,4.18359,0.164062,0.270787,
pipuck7,-8.77734,4.01953,0.164062,0.503877,
pipuck7,-8.61328,4.01953,0.164062,0.29479,
pipuck7,-8.44922,4.34766,0.164062,0.3,
pipuck7,-8.44922,4.18359,0.164062,0.28375,
pipuck7,-8.44922,4.01953,0.164062,0.284961,
pipuck7,-10.2539,3.85547,0.164062,0.273224,
pipuck7,-10.2539,3.69141,0.164062,0.274903,
pipuck7,-10.0898,3.85547,0.164062,0.493588,
pipuck7,-9.92578,3.85547,0.164062,0.530728,
pipuck7,-10.0898,3.69141,0.164062,0.486052,
pipuck7,-9.92578,3.69141,0.164062,0.521828,
pipuck7,-10.2539,3.52734,0.164062,0.269072,
pipuck7,-10.2539,3.36328,0.164062,0.270457,
pipuck7,-10.0898,3.52734,0.164062,0.285472,
pipuck7,-9.92578,3.52734,0.164062,0.498732,
pipuck7,-10.0898,3.36328,0.164062,0.288708,
pipuck7,-9.92578,3.36328,0.164062,0.50315,
pipuck7,-9.76172,3.85547,0.164062,0.542352,
pipuck7,-9.59766,3.85547,0.164062,0.545698,
pipuck7,-9.76172,3.69141,0.164062,0.519008,
pipuck7,-9.59766,3.69141,0.164062,0.543842,
pipuck7,-9.35156,3.77344,0.328125,0.555073,
pipuck7,-9.76172,3.52734,0.164062,0.540528,
pipuck7,-9.59766,3.52734,0.164062,0.552622,
pipuck7,-9.76172,3.36328,0.164062,0.522767,
pipuck7,-9.59766,3.36328,0.164062,0.560113,
pipuck7,-9.35156,3.44531,0.328125,0.55528,
pipuck7,-10.2539,3.19922,0.164062,0.274077,
pipuck7,-10.418,3.03516,0.164062,0.499891,
pipuck7,-10.2539,3.03516,0.164062,0.278145,
pipuck7,-10.0898,3.19922,0.164062,0.4804,
pipuck7,-9.92578,3.19922,0.164062,0.526115,
pipuck7,-10.0898,3.03516,0.164062,0.271301,
pipuck7,-9.92578,3.03516,0.164062,0.292036,
pipuck7,-10.418,2.87109,0.164062,0.299953,
pipuck7,-10.2539,2.87109,0.164062,0.27836,
pipuck7,-10.418,2.70703,0.164062,0.499961,
pipuck7,-10.2539,2.70703,0.164062,0.277219,
pipuck7,-10.0898,2.87109,0.164062,0.267874,
pipuck7,-9.92578,2.87109,0.164062,0.487051,
pipuck7,-10.0898,2.70703,0.164062,0.274359,
pipuck7,-9.92578,2.70703,0.164062,0.297339,
pipuck7,-9.67969,3.11719,0.328125,0.54464,
pipuck7,-9.43359,3.19922,0.164062,0.56761,
pipuck7,-9.26953,3.19922,0.164062,0.56761,
pipuck7,-9.43359,3.03516,0.164062,0.557143,
pipuck7,-9.26953,3.03516,0.164062,0.567085,
pipuck7,-9.76172,2.87109,0.164062,0.569489,
pipuck7,-9.59766,2.87109,0.164062,0.544369,
pipuck7,-9.76172,2.70703,0.164062,0.568951,
pipuck7,-9.59766,2.70703,0.164062,0.569489,
pipuck7,-9.35156,2.78906,0.328125,0.555904,
pipuck7,-9.10547,3.85547,0.164062,0.541233,
pipuck7,-8.94141,3.85547,0.164062,0.557686,
pipuck7,-9.10547,3.69141,0.164062,0.52722,
pipuck7,-8.94141,3.69141,0.164062,0.564994,
pipuck7,-8.77734,3.85547,0.164062,0.536141,
pipuck7,-8.61328,3.85547,0.164062,0.495917,
