agent_id,x,y,coverage_pheromone,size
pipuck15,-6.50781,-1.72656,-1,0.265625
pipuck15,-6.50781,-1.46094,-1,0.265625
pipuck15,-6.50781,-1.19531,-1,0.265625
pipuck15,-6.50781,-0.929688,-1,0.265625
pipuck15,-6.50781,-0.664062,-1,0.265625
pipuck15,-6.50781,-0.398438,-1,0.265625
pipuck15,-6.50781,-0.132812,-1,0.265625
pipuck15,-6.50781,0.132812,-1,0.265625
pipuck15,-6.24219,-1.72656,0.21625,0.265625
pipuck15,-6.24219,-1.46094,0.218125,0.265625
pipuck15,-6.24219,-1.19531,0.22125,0.265625
pipuck15,-6.24219,-0.929688,0.22875,0.265625
pipuck15,-6.24219,-0.664062,0.2325,0.265625
pipuck15,-6.24219,-0.398438,0.231875,0.265625
pipuck15,-6.24219,-0.132812,0.24875,0.265625
pipuck15,-6.24219,0.132812,0.2525,0.265625
pipuck15,-6.24219,0.398438,0.275625,0.265625
pipuck15,-6.24219,0.664062,0.275,0.265625
pipuck15,-6.24219,0.929688,0.26625,0.265625
pipuck15,-6.24219,1.19531,0.266875,0.265625
pipuck15,-6.24219,1.46094,0.268125,0.265625
pipuck15,-6.24219,1.72656,0.26875,0.265625
pipuck15,-6.24219,1.99219,0.269375,0.265625
pipuck15,-5.97656,-1.19531,0.22125,0.265625
pipuck15,-5.97656,-0.929688,0.22875,0.265625
pipuck15,-5.97656,-0.664062,0.2325,0.265625
pipuck15,-5.97656,-0.398438,0.231875,0.265625
pipuck15,-5.97656,-0.132812,0.271875,0.265625
pipuck15,-5.97656,0.132812,0.27625,0.265625
pipuck15,-5.97656,0.398438,0.27625,0.265625
pipuck15,-5.97656,0.664062,0.275625,0.265625
pipuck15,-5.97656,0.929688,0.26625,0.265625
pipuck15,-5.97656,1.19531,0.266875,0.265625
pipuck15,-5.97656,1.46094,0.268125,0.265625
pipuck15,-5.97656,1.72656,0.26875,0.265625
pipuck15,-5.97656,1.99219,0.269375,0.265625
pipuck15,-5.97656,2.25781,0.27,0.265625
pipuck15,-5.97656,2.52344,-1,0.265625
pipuck15,-5.97656,4.38281,-1,0.265625
pipuck15,-5.71094,-4.91406,-1,0.265625
pipuck15,-5.71094,-4.64844,-1,0.265625
pipuck15,-5.71094,-2.78906,-1,0.265625
pipuck15,-5.71094,-2.52344,0.21,0.265625
pipuck15,-5.71094,-1.99219,0.2125,0.265625
pipuck15,-5.71094,-1.72656,0.213125,0.265625
pipuck15,-5.71094,-1.46094,0.218125,0.265625
pipuck15,-5.71094,-1.19531,0.22125,0.265625
pipuck15,-5.71094,-0.929688,0.228125,0.265625
pipuck15,-5.71094,-0.664062,0.2325,0.265625
pipuck15,-5.71094,-0.398438,0.2325,0.265625
pipuck15,-5.71094,-0.132812,0.278125,0.265625
pipuck15,-5.71094,0.132812,0.28375,0.265625
pipuck15,-5.71094,0.398438,0.28375,0.265625
pipuck15,-5.71094,0.664062,0.275625,0.265625
pipuck15,-5.71094,0.929688,0.26625,0.265625
pipuck15,-5.71094,1.19531,0.266875,0.265625
pipuck15,-5.71094,1.46094,0.268125,0.265625
pipuck15,-5.71094,1.72656,0.269375,0.265625
pipuck15,-5.71094,1.99219,0.27,0.265625
pipuck15,-5.71094,4.11719,-1,0.265625
pipuck15,-5.71094,4.38281,-1,0.265625
pipuck15,-5.71094,4.64844,-1,0.265625
pipuck15,-5.71094,4.91406,-1,0.265625
pipuck15,-5.44531,-4.64844,-1,0.265625
pipuck15,-5.44531,-3.05469,-1,0.265625
pipuck15,-5.44531,-2.52344,0.210625,0.265625
pipuck15,-5.44531,-2.25781,0.21125,0.265625
pipuck15,-5.44531,-1.99219,0.2125,0.265625
pipuck15,-5.44531,-1.72656,0.213125,0.265625
pipuck15,-5.44531,-1.46094,0.218125,0.265625
