agent_id,x,y,obstacle_pheromone,size
pipuck15,-6.24219,-1.72656,-1,0.265625
pipuck15,-5.97656,-2.25781,-1,0.265625
pipuck15,-5.97656,-1.99219,0.2125,0.265625
pipuck15,-5.97656,-1.72656,0.215625,0.265625
pipuck15,-5.97656,-1.46094,0.215,0.265625
pipuck15,-5.97656,2.78906,-1,0.265625
pipuck15,-5.71094,-5.17969,-1,0.265625
pipuck15,-5.71094,-2.78906,-1,0.265625
pipuck15,-5.71094,-2.52344,-1,0.265625
pipuck15,-5.71094,-2.25781,0.211875,0.265625
pipuck15,-5.71094,-1.99219,-1,0.265625
pipuck15,-5.71094,2.25781,0.270625,0.265625
pipuck15,-5.71094,2.52344,0.27125,0.265625
pipuck15,-5.71094,2.78906,-1,0.265625
pipuck15,-5.71094,3.05469,-1,0.265625
pipuck15,-5.71094,3.32031,-1,0.265625
pipuck15,-5.44531,-6.50781,-1,0.265625
pipuck15,-5.44531,-5.97656,-1,0.265625
pipuck15,-5.44531,-5.71094,-1,0.265625
pipuck15,-5.44531,-5.44531,-1,0.265625
pipuck15,-5.44531,-5.17969,-1,0.265625
pipuck15,-5.44531,-4.91406,-1,0.265625
pipuck15,-5.44531,-2.78906,0.210625,0.265625
pipuck15,-5.44531,-2.52344,-1,0.265625
pipuck15,-5.44531,2.52344,-1,0.265625
pipuck15,-5.44531,2.78906,-1,0.265625
pipuck15,-5.44531,3.05469,-1,0.265625
pipuck15,-5.44531,3.32031,-1,0.265625
pipuck15,-5.44531,3.58594,-1,0.265625
pipuck15,-5.44531,3.85156,-1,0.265625
pipuck15,-5.17969,-6.77344,-1,0.265625
pipuck15,-5.17969,-6.50781,-1,0.265625
pipuck15,-5.17969,-6.24219,-1,0.265625
pipuck15,-5.17969,-5.97656,-1,0.265625
pipuck15,-5.17969,-5.71094,-1,0.265625
pipuck15,-5.17969,-5.44531,-1,0.265625
pipuck15,-5.17969,-5.17969,-1,0.265625
pipuck15,-5.17969,-4.64844,-1,0.265625
pipuck15,-5.17969,-4.38281,0.109375,0.265625
pipuck15,-5.17969,-3.85156,0.110625,0.265625
pipuck15,-5.17969,3.85156,-1,0.265625
pipuck15,-4.91406,-7.30469,-1,0.265625
pipuck15,-4.91406,-7.03906,-1,0.265625
pipuck15,-4.91406,-6.77344,-1,0.265625
pipuck15,-4.91406,-6.50781,-1,0.265625
pipuck15,-4.91406,-4.38281,-1,0.265625
pipuck15,-4.91406,-4.11719,-1,0.265625
pipuck15,-4.91406,5.97656,0.699375,0.265625
pipuck15,-4.91406,6.24219,0.714375,0.265625
pipuck15,-4.91406,6.50781,0.670625,0.265625
pipuck15,-4.64844,-7.30469,-1,0.265625
pipuck15,-4.64844,-7.03906,-1,0.265625
pipuck15,-4.64844,-6.77344,-1,0.265625
pipuck15,-4.64844,-4.11719,-1,0.265625
pipuck15,-4.64844,5.97656,0.656875,0.265625
pipuck15,-4.64844,6.24219,0.71375,0.265625
pipuck15,-4.64844,6.50781,0.713125,0.265625
pipuck15,-4.38281,-7.30469,-1,0.265625
pipuck15,-4.38281,-7.03906,-1,0.265625
pipuck15,-4.38281,5.97656,0.58,0.265625
pipuck15,-4.38281,6.24219,0.614375,0.265625
